Size,Threads,Time_Mean,Time_Std,Time_Min,Time_Max,Runs
200,1,0.081894,0.005464,0.076901,0.087731,3
200,2,0.057346,0.003305,0.053646,0.060005,3
200,4,0.046221,0.004685,0.042455,0.051467,3
200,8,0.046761,0.009114,0.040814,0.057254,3
200,10,0.040082,0.000627,0.039387,0.040604,3
400,1,0.599415,0.001912,0.597366,0.601151,3
400,2,0.470165,0.044216,0.429390,0.517163,3
400,4,0.291035,0.001706,0.289635,0.292936,3
400,8,0.232146,0.013453,0.223406,0.247638,3
400,10,0.227513,0.010526,0.216640,0.237653,3
800,1,4.710257,0.030091,4.675510,4.727640,3
800,2,3.216037,0.042257,3.179370,3.262250,3
800,4,2.039787,0.022310,2.021280,2.064560,3
800,8,1.564370,0.003937,1.559850,1.567050,3
800,10,1.489620,0.009157,1.482220,1.499860,3
1200,1,16.080267,0.218854,15.940700,16.332500,3
1200,2,10.443133,0.185524,10.303300,10.653600,3
1200,4,6.671793,0.057135,6.628570,6.736570,3
1200,8,5.066870,0.023436,5.039810,5.080610,3
1200,10,4.801083,0.026936,4.775100,4.828880,3
1600,1,38.580767,0.517274,38.066400,39.100900,3
1600,2,23.891200,0.485487,23.412500,24.383200,3
1600,4,15.266767,0.052203,15.207400,15.305500,3
1600,8,11.799300,0.013513,11.786600,11.813500,3
1600,10,11.058667,0.013582,11.043100,11.068100,3
2000,1,76.510900,2.463354,74.389300,79.212500,3
2000,2,62.313000,5.706755,55.724700,65.720200,3
2000,4,25.567233,0.516555,25.025100,26.053700,3
2000,8,20.519400,0.556863,19.878900,20.888800,3
2000,10,19.771567,0.361193,19.464900,20.169700,3
