Size,Processes,Time_Mean,Time_Std,Time_Min,Time_Max,Runs
200,1,0.019667,0.000175,0.019466,0.019782,3
200,2,0.009829,0.000204,0.009603,0.009999,3
200,4,0.007191,0.002449,0.005222,0.009933,3
200,6,0.003325,0.000090,0.003248,0.003424,3
200,8,0.002524,0.000056,0.002463,0.002573,3
200,10,0.002315,0.000304,0.001999,0.002607,3
400,1,0.197767,0.036815,0.171813,0.239901,3
400,2,0.084993,0.001988,0.082704,0.086291,3
400,4,0.056405,0.018917,0.042761,0.078000,3
400,6,0.046833,0.007918,0.038658,0.054465,3
400,8,0.038080,0.003930,0.034434,0.042243,3
400,10,0.027978,0.008677,0.017962,0.033215,3
800,1,1.299680,0.033259,1.274000,1.337250,3
800,2,0.630960,0.010390,0.621203,0.641885,3
800,4,0.320899,0.004663,0.315829,0.325003,3
800,6,0.287280,0.021917,0.268781,0.311486,3
800,8,0.252626,0.008393,0.242992,0.258355,3
800,10,0.239494,0.018252,0.226795,0.260411,3
1200,1,4.435303,0.071424,4.357970,4.498790,3
1200,2,2.198113,0.025451,2.180410,2.227280,3
1200,4,1.125693,0.037701,1.087210,1.162560,3
1200,6,0.909297,0.034019,0.870195,0.932098,3
1200,8,0.916901,0.028124,0.884582,0.935808,3
1200,10,0.773783,0.094057,0.666607,0.842590,3
1600,1,10.655867,0.107718,10.532000,10.727600,3
1600,2,5.341427,0.040417,5.296590,5.375060,3
1600,4,2.629633,0.128669,2.530250,2.774970,3
1600,6,2.348453,0.168766,2.180810,2.518320,3
1600,8,2.132340,0.125773,2.037170,2.274930,3
1600,10,2.119573,0.084403,2.022510,2.175710,3
2000,1,20.582933,0.610657,19.880800,20.990200,3
2000,2,10.364900,0.220502,10.194000,10.613800,3
2000,4,5.354847,0.023429,5.328070,5.371580,3
2000,6,4.465137,0.250700,4.187210,4.674230,3
2000,8,4.449800,0.082488,4.390080,4.543920,3
2000,10,4.365863,0.097264,4.265420,4.459600,3
